text,sentiment
I love this product! It's amazing.,positive
This is the worst purchase I've ever made.,negative
I'm not sure how I feel about this.,neutral
Excellent quality and fast delivery.,positive
The item arrived late and was damaged.,negative
"It's okay, not great but not bad either.",neutral
I'm very happy with the service.,positive
"Terrible experience, would not recommend.",negative
"The product is fine, just as expected.",neutral
Fantastic quality! Exceeded my expectations.,positive
bad,negative
good,positive
positive,positive
negative,negative
